OBS_VALUE,SEX,TIME_PERIOD
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
null,F,2017
null,M,2017
null,_T,2017
